,PRODUCT_MDM_CODE,OBJ_KEY,img_lst
19,1174576,541690_2,https://img.hrryzx.com/upload/1/2019/9/16/9b2fbc86-fd11-4282-b18e-65b8ead1a60e.jpg;https://img.hrryzx.com/upload/1/2019/9/16/cf262d87-aaf7-4acd-b75d-951ad11acc77.jpg;https://img.hrryzx.com/upload/1/2019/9/16/cf8f1564-1b9a-44d1-865c-a27b9f3c9349.jpg;https://img.hrryzx.com/upload/1/2019/9/16/2980c9c3-ae75-4e66-b6ef-c53ec4c94736.jpg
20,1010565,550699_2,https://img.hrryzx.com/upload/1/2018/10/22/d39c0ce8-dff8-40ba-908d-8ebcb30045b5.jpg;https://img.hrryzx.com/upload/1/2018/10/22/69d8d0ef-915b-4ec8-8476-10a3a91a6d9a.jpg;https://img.hrryzx.com/upload/1/2018/10/22/90009985-2b48-4db2-9382-11559348481b.jpg
21,1033553,547487_2,https://img.hrryzx.com/upload/1/2018/10/23/4e0a0184-c9c6-4264-b071-47cf3b1821e8.jpg;https://img.hrryzx.com/upload/1/2018/10/23/4cd71e4d-f406-454e-9270-07f4791f14b4.jpg;https://img.hrryzx.com/upload/1/2018/10/23/1999109d-7b86-49c9-89ea-6e46ba7e73e1.jpg;https://img.hrryzx.com/upload/1/2018/10/23/8e5dcdfa-7c4d-4f54-ae13-c5930c266a03.jpg
22,1004624,547702_2,1/2020/6/1/018f592c-e2cf-4ff3-9206-3d0d63a25d50.jpg;1/2020/6/1/b581ec52-3103-4b0b-b923-e30e0fad11e4.jpg;1/2020/6/1/28930471-a9da-4a5b-a432-0a9d2b16a4be.jpg;1/2020/6/1/64ac8e73-1a8e-4359-8545-59b00a958b69.jpg
23,5128597,623358_2,https://img.hrryzx.com/upload/1/2019/2/19/8526f97d-4fdc-4a27-93c4-ac17c8258795.JPG;https://img.hrryzx.com/upload/1/2019/2/19/054a3858-6963-4397-9499-952cbb374a23.JPG;https://img.hrryzx.com/upload/1/2019/2/19/4b0b6123-d1a1-4411-bfc0-9fd38eb56253.JPG
24,1119963,13849_2,https://img.hrryzx.com/upload/1/2019/3/30/65ca53f1-0ffd-43cb-adc8-74eef14b28e7.jpg;https://img.hrryzx.com/upload/1/2019/3/30/50cd0512-aa99-4af1-a1bf-c9fb4bcfa93d.jpg;https://img.hrryzx.com/upload/1/2019/3/30/76dc1951-756f-476f-89cb-30e113b476aa.jpg;https://img.hrryzx.com/upload/1/2019/3/30/ca6616a3-2357-457f-988b-f8251bb9349c.jpg
25,1642822,597358_2,https://img.hrryzx.com/upload/1/2019/8/16/b318f423-c8c7-4b23-abe9-3b60ce9bffaa.jpg;https://img.hrryzx.com/upload/1/2019/8/16/d6d45b6c-acf1-4600-9018-57c4e4234176.jpg;https://img.hrryzx.com/upload/1/2019/8/16/6afc2527-663f-4d50-8803-6504b4245d14.jpg;https://img.hrryzx.com/upload/1/2019/8/16/53cb7260-f4cf-4dfe-aa97-7b0b2bfc1d78.jpg
26,1003232,556592_2,https://img.hrryzx.com/upload/1/2019/2/19/af2fed15-52f2-4b18-8f27-049ad2ed1faa.JPG;https://img.hrryzx.com/upload/1/2019/2/19/4e8237be-aec9-46d9-b915-bf9ef6db2197.JPG;https://img.hrryzx.com/upload/1/2019/2/19/ea3bf332-a983-4d59-81c7-6852d420c389.JPG
27,1619925,181427_2,https://img.hrryzx.com/upload/1/2019/1/22/02fb09bb-7b74-4027-9635-916d7c023ba0.jpg
28,1119598,544245_2,1/2020/6/1/37cec5d3-9424-41be-afa4-79b3c5372160.jpg;1/2020/6/1/90ed99bd-b358-43ed-8c08-0ad2e0d608ec.jpg;1/2020/6/1/21253826-fb29-4ee2-9daf-6d1b76f9a0e1.jpg
